study_name,dataset_name,variable_name,question_name,instrument_name
soep-core,ipequiv,opery92,92,soep-core-1998-pe
soep-core,jhgen,fheat93,93,soep-core-1989-hh
soep-core,jhgen,fhinc93,93,soep-core-1989-hh
soep-core,jpequiv,chspt93,93,soep-core-1986-hh
soep-core,jpequiv,fholy93,93,soep-core-1989-hh
soep-core,jpequiv,fhsup93,93,soep-core-1989-hh
soep-core,jpequiv,fprvp93,93,soep-core-1989-pe
soep-core,jpequiv,iholy93,93,soep-core-1992-hh
soep-core,jpequiv,iprv193,19,soep-core-1992-pe
soep-core,jpequiv,iprv293,29,soep-core-1992-pe
soep-core,jpequiv,iprvp93,93,soep-core-1992-pe
soep-core,jpequiv,opery93,93,soep-core-1998-pe
soep-core,khgen,fheat94,94,soep-core-1989-hh
soep-core,khgen,fhinc94,94,soep-core-1989-hh
soep-core,kpequiv,chspt94,94,soep-core-1986-hh
soep-core,kpequiv,fholy94,94,soep-core-1989-hh
soep-core,kpequiv,fhsup94,94,soep-core-1989-hh
soep-core,kpequiv,fprvp94,94,soep-core-1989-pe
soep-core,kpequiv,iholy94,94,soep-core-1992-hh
soep-core,kpequiv,iprv194,19,soep-core-1992-pe
soep-core,kpequiv,iprv294,29,soep-core-1992-pe
soep-core,kpequiv,iprvp94,94,soep-core-1992-pe
soep-core,kpequiv,opery94,94,soep-core-1998-pe
soep-core,lhgen,fheat95,95,soep-core-1989-hh
soep-core,lhgen,fhinc95,95,soep-core-1989-hh
soep-core,lpequiv,chspt95,95,soep-core-1986-hh
soep-core,lpequiv,fholy95,95,soep-core-1989-hh
soep-core,lpequiv,fhsup95,95,soep-core-1989-hh
soep-core,lpequiv,fprvp95,95,soep-core-1989-pe
soep-core,lpequiv,iholy95,95,soep-core-1992-hh
soep-core,lpequiv,iprv195,19,soep-core-1992-pe
soep-core,lpequiv,iprv295,29,soep-core-1992-pe
soep-core,lpequiv,iprvp95,95,soep-core-1992-pe
soep-core,lpequiv,opery95,95,soep-core-1998-pe
soep-core,mhgen,fheat96,96,soep-core-1989-hh
soep-core,mhgen,fhinc96,96,soep-core-1989-hh
soep-core,mpequiv,chspt96,96,soep-core-1986-hh
soep-core,mpequiv,fholy96,96,soep-core-1989-hh
soep-core,mpequiv,fhsup96,96,soep-core-1989-hh
soep-core,mpequiv,fprvp96,96,soep-core-1989-pe
soep-core,mpequiv,iholy96,96,soep-core-1992-hh
soep-core,mpequiv,iprv196,19,soep-core-1992-pe
soep-core,mpequiv,iprv296,29,soep-core-1992-pe
soep-core,mpequiv,iprvp96,96,soep-core-1992-pe
soep-core,mpequiv,opery96,96,soep-core-1998-pe
soep-core,nhgen,fheat97,97,soep-core-1989-hh
soep-core,nhgen,fhinc97,97,soep-core-1989-hh
soep-core,npequiv,chspt97,97,soep-core-1986-hh
soep-core,npequiv,fholy97,97,soep-core-1989-hh
soep-core,npequiv,fhsup97,97,soep-core-1989-hh
soep-core,npequiv,fprvp97,97,soep-core-1989-pe
soep-core,npequiv,iholy97,97,soep-core-1992-hh
soep-core,npequiv,iprv197,19,soep-core-1992-pe
soep-core,npequiv,iprv297,29,soep-core-1992-pe
soep-core,npequiv,iprvp97,97,soep-core-1992-pe
soep-core,npequiv,opery97,97,soep-core-1998-pe
soep-core,ohgen,fheat98,98,soep-core-1989-hh
soep-core,ohgen,fhinc98,98,soep-core-1989-hh
soep-core,opequiv,chspt98,98,soep-core-1986-hh
soep-core,opequiv,fholy98,98,soep-core-1989-hh
soep-core,opequiv,fhsup98,98,soep-core-1989-hh
soep-core,opequiv,fprvp98,98,soep-core-1989-pe
soep-core,opequiv,iholy98,98,soep-core-1992-hh
soep-core,opequiv,iprv198,19,soep-core-1992-pe
soep-core,opequiv,iprv298,29,soep-core-1992-pe
soep-core,opequiv,iprvp98,98,soep-core-1992-pe
soep-core,opequiv,opery98,98,soep-core-1998-pe
soep-core,phgen,fheat99,99,soep-core-1989-hh
soep-core,phgen,fhinc99,99,soep-core-1989-hh
soep-core,ppequiv,chspt99,99,soep-core-1986-hh
soep-core,ppequiv,fholy99,99,soep-core-1989-hh
soep-core,ppequiv,fhsup99,99,soep-core-1989-hh
soep-core,ppequiv,fprvp99,99,soep-core-1989-pe
soep-core,ppequiv,iholy99,99,soep-core-1992-hh
soep-core,ppequiv,iprv199,19,soep-core-1992-pe
soep-core,ppequiv,iprv299,29,soep-core-1992-pe
soep-core,ppequiv,iprvp99,99,soep-core-1992-pe
soep-core,ppequiv,opery99,99,soep-core-1998-pe
soep-core,qhgen,fheat00,0,soep-core-1989-hh
soep-core,qhgen,fhinc00,0,soep-core-1989-hh
soep-core,qpequiv,chspt00,0,soep-core-1986-hh
soep-core,qpequiv,fholy00,0,soep-core-1989-hh
soep-core,qpequiv,fhsup00,0,soep-core-1989-hh
soep-core,qpequiv,fprvp00,0,soep-core-1989-pe
soep-core,qpequiv,iholy00,0,soep-core-1992-hh
soep-core,qpequiv,iprv100,10,soep-core-1992-pe
soep-core,qpequiv,iprv200,20,soep-core-1992-pe
soep-core,qpequiv,iprvp00,0,soep-core-1992-pe
soep-core,qpequiv,opery00,0,soep-core-1998-pe
soep-core,rhgen,fheat01,1,soep-core-1989-hh
soep-core,rhgen,fhinc01,1,soep-core-1989-hh
soep-core,rpequiv,chspt01,1,soep-core-1986-hh
soep-core,rpequiv,fholy01,1,soep-core-1989-hh
soep-core,rpequiv,fhsup01,1,soep-core-1989-hh
soep-core,rpequiv,fprvp01,1,soep-core-1989-pe
soep-core,rpequiv,iholy01,1,soep-core-1992-hh
soep-core,rpequiv,iprv101,10,soep-core-1992-pe
soep-core,rpequiv,iprv201,20,soep-core-1992-pe
soep-core,rpequiv,iprvp01,1,soep-core-1992-pe
soep-core,rpequiv,opery01,1,soep-core-1998-pe
soep-core,shgen,fheat02,2,soep-core-1989-hh
soep-core,shgen,fhinc02,2,soep-core-1989-hh
soep-core,spequiv,chspt02,2,soep-core-1986-hh
soep-core,spequiv,fholy02,2,soep-core-1989-hh
soep-core,spequiv,fhsup02,2,soep-core-1989-hh
soep-core,spequiv,fprvp02,2,soep-core-1989-pe
soep-core,spequiv,iholy02,2,soep-core-1992-hh
soep-core,spequiv,iprv102,10,soep-core-1992-pe
soep-core,spequiv,iprv202,20,soep-core-1992-pe
